# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.062 us    |                              } /* free_pages_prepare */
 0)   0.111 us    |                dnotify_flush();
 0)   0.072 us    |                locks_remove_posix();
 0)               |                fput() {
 0)   0.129 us    |                  task_work_add();
 0)   0.436 us    |                }
 0)   1.844 us    |              }
 0)   0.115 us    |              _cond_resched();
 0)   0.054 us    |              _raw_spin_lock();
 0)   3.777 us    |            }
 0) + 12.252 us   |          }
 0)   0.148 us    |          get_random_int();
 0)               |          setup_arg_pages() {
 0)               |            arch_align_stack() {
 0)   0.140 us    |              get_random_int();
 0)   0.449 us    |            }
 0)               |            down_write() {
 0)   0.052 us    |              _cond_resched();
 0)   0.342 us    |            }
 0)               |            mprotect_fixup() {
 0)   0.363 us    |              vma_merge();
 0)   0.062 us    |              vm_get_page_prot();
 0)   0.051 us    |              vma_wants_writenotify();
 0)               |              change_protection() {
 0)   0.054 us    |                _raw_spin_lock();
 0)   1.179 us    |                flush_tlb_mm_range();
 0)   2.953 us    |              }
 0)   0.060 us    |              vm_stat_account();
 0)   0.060 us    |              vm_stat_account();
 0)   5.283 us    |            }
 0)               |            shift_arg_pages() {
 0)               |              find_vma() {
 0)   0.086 us    |                vmacache_find();
 0)   0.071 us    |                vmacache_update();
 0)   0.758 us    |              }
 0)               |              vma_adjust() {
 0)   0.062 us    |                __vma_adjust_trans_huge();
 0)               |                down_write() {
 0)   0.053 us    |                  _cond_resched();
 0)   0.351 us    |                }
 0)   0.074 us    |                anon_vma_interval_tree_remove();
 0)   0.062 us    |                vma_compute_subtree_gap();
 0)   0.070 us    |                anon_vma_interval_tree_insert();
 0)   0.052 us    |                up_write();
 0)   2.868 us    |              }
 0)               |              move_page_tables() {
 0)   0.053 us    |                _cond_resched();
 0)               |                __pmd_alloc() {
 0)               |                  alloc_pages_current() {
 0)   0.060 us    |                    policy_nodemask();
 0)   0.062 us    |                    policy_zonelist();
 0)               |                    __alloc_pages_nodemask() {
 0)   0.052 us    |                      _cond_resched();
 0)   0.061 us    |                      next_zones_zonelist();
 0)               |                      get_page_from_freelist() {
 0)   0.063 us    |                        next_zones_zonelist();
 0)   0.054 us    |                        next_zones_zonelist();
 0)   0.067 us    |                        __zone_watermark_ok();
 0)   0.054 us    |                        __mod_zone_page_state();
 0)               |                        zone_statistics() {
 0)   0.058 us    |                          __inc_zone_state();
 0)   0.053 us    |                          __inc_zone_state();
 0)   0.655 us    |                        }
 0)   2.892 us    |                      }
 0)   3.831 us    |                    }
 0)   4.777 us    |                  }
 0)   0.054 us    |                  _raw_spin_lock();
 0)   5.790 us    |                }
 0)               |                __pte_alloc() {
 0)               |                  pte_alloc_one() {
 0)               |                    alloc_pages_current() {
 0)   0.060 us    |                      policy_nodemask();
 0)   0.058 us    |                      policy_zonelist();
 0)               |                      __alloc_pages_nodemask() {
 0)   0.053 us    |                        _cond_resched();
 0)   0.055 us    |                        next_zones_zonelist();
 0)               |                        get_page_from_freelist() {
 0)   0.061 us    |                          next_zones_zonelist();
 0)   0.127 us    |                          next_zones_zonelist();
 0)   0.063 us    |                          __zone_watermark_ok();
 0)   0.053 us    |                          __mod_zone_page_state();
 0)               |                          zone_statistics() {
 0)   0.054 us    |                            __inc_zone_state();
 0)   0.052 us    |                            __inc_zone_state();
 0)   0.637 us    |                          }
 0)   2.651 us    |                        }
 0)   3.771 us    |                      }
 0)   4.680 us    |                    }
 0)   0.074 us    |                    inc_zone_page_state();
 0)   5.354 us    |                  }
 0)   0.051 us    |                  _raw_spin_lock();
 0)   5.976 us    |                }
 0)   0.078 us    |                _raw_spin_lock();
 0)   0.049 us    |                _raw_spin_lock();
 0)   0.330 us    |                flush_tlb_mm_range();
 0) + 14.294 us   |              }
