# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.058 us    |                  cap_file_open();
  0)               |                  __fsnotify_parent() {
  0)   0.073 us    |                    dget_parent();
  0)   0.073 us    |                    dput();
  0)   0.817 us    |                  }
  0)   0.182 us    |                  fsnotify();
  0)   1.934 us    |                }
  0)               |                ext4_file_open [ext4]() {
  0)               |                  dquot_file_open() {
  0)   0.052 us    |                    generic_file_open();
  0)   0.392 us    |                  }
  0)   0.736 us    |                }
  0)               |                file_ra_state_init() {
  0)               |                  inode_to_bdi() {
  0)   0.057 us    |                    sb_is_blkdev_sb();
  0)   0.390 us    |                  }
  0)   0.737 us    |                }
  0)   5.477 us    |              }
  0)   5.808 us    |            }
  0)   0.052 us    |            open_check_o_direct();
  0)   0.067 us    |            dput();
  0)   0.064 us    |            mntput();
  0)               |            terminate_walk() {
  0)   0.073 us    |              dput();
  0)               |              mntput() {
  0)   0.054 us    |                mntput_no_expire();
  0)   0.375 us    |              }
  0)   1.027 us    |            }
  0) + 12.185 us   |          }
  0)   0.060 us    |          path_cleanup();
  0) + 19.595 us   |        }
  0) + 19.930 us   |      }
  0)               |      __fsnotify_parent() {
  0)   0.062 us    |        dget_parent();
  0)   0.054 us    |        dput();
  0)   0.733 us    |      }
  0)   0.055 us    |      fsnotify();
  0)               |      fd_install() {
  0)               |        __fd_install() {
  0)   0.051 us    |          _raw_spin_lock();
  0)   0.059 us    |          _raw_spin_unlock();
  0)   0.824 us    |        }
  0)   1.167 us    |      }
  0)               |      putname() {
  0)   0.138 us    |        kmem_cache_free();
  0)   0.453 us    |      }
  0) + 26.585 us   |    }
  0) + 26.919 us   |  }
  0)               |  SyS_newfstat() {
  0)               |    vfs_fstat() {
  0)               |      __fdget_raw() {
  0)   0.092 us    |        __fget_light();
  0)   0.425 us    |      }
  0)               |      vfs_getattr() {
  0)               |        security_inode_getattr() {
  0)   0.050 us    |          cap_inode_getattr();
  0)   0.395 us    |        }
  0)               |        vfs_getattr_nosec() {
  0)               |          ext4_getattr [ext4]() {
  0)   0.130 us    |            generic_fillattr();
  0)   0.520 us    |          }
  0)   0.995 us    |        }
  0)   1.984 us    |      }
  0)   3.010 us    |    }
  0)               |    cp_new_stat() {
  0)               |      from_kuid_munged() {
  0)   0.060 us    |        map_id_up();
  0)   0.368 us    |      }
  0)               |      from_kgid_munged() {
  0)   0.060 us    |        map_id_up();
  0)   0.360 us    |      }
  0)   1.367 us    |    }
  0)   5.068 us    |  }
  0)               |  SyS_mmap() {
  0)               |    SyS_mmap_pgoff() {
  0)               |      fget() {
  0)   0.052 us    |        __fget();
  0)   0.445 us    |      }
  0)   0.059 us    |      is_file_shm_hugepages();
  0)               |      vm_mmap_pgoff() {
  0)               |        security_mmap_file() {
  0)   0.054 us    |          cap_mmap_file();
  0)   0.358 us    |        }
  0)   0.050 us    |        down_write();
  0)               |        do_mmap_pgoff() {
  0)               |          get_unmapped_area() {
  0)               |            arch_get_unmapped_area_topdown() {
  0)   0.076 us    |              get_align_mask();
  0)   0.060 us    |              get_align_mask();
  0)   0.108 us    |              unmapped_area_topdown();
  0)   1.090 us    |            }
  0)               |            security_mmap_addr() {
  0)   0.054 us    |              cap_mmap_addr();
  0)   0.360 us    |            }
  0)   2.039 us    |          }
  0)               |          mmap_region() {
  0)   0.051 us    |            is_file_shm_hugepages();
  0)               |            vma_merge() {
  0)   0.052 us    |              can_vma_merge_before();
  0)   0.387 us    |            }
