# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.088 us    |              __inc_zone_state();
  0)   0.735 us    |            }
  0)   0.088 us    |            mem_cgroup_update_page_stat();
  0)   0.084 us    |            mem_cgroup_end_page_stat();
  0)   3.329 us    |          }
  0)   4.642 us    |        }
  0)               |        unlock_page() {
  0)   0.089 us    |          __wake_up_bit();
  0)   0.741 us    |        }
  0) + 67.583 us   |      }
  0)   0.087 us    |      _raw_spin_unlock();
  0) + 70.180 us   |    }
  0)   0.087 us    |    up_read();
  0) + 73.302 us   |  }
  0)               |  xen_evtchn_do_upcall() {
  0)               |    irq_enter() {
  0)   0.154 us    |      rcu_irq_enter();
  0)   0.818 us    |    }
  0)   0.097 us    |    exit_idle();
  0)               |    __xen_evtchn_do_upcall() {
  0)               |      evtchn_2l_handle_events() {
  0)   0.085 us    |        irq_from_virq();
  0)               |        evtchn_from_irq() {
  0)               |          irq_get_irq_data() {
  0)   0.150 us    |            irq_to_desc();
  0)   0.827 us    |          }
  0)   1.486 us    |        }
  0)               |        generic_handle_irq() {
  0)               |          handle_percpu_irq() {
  0)               |            ack_dynirq() {
  0)               |              evtchn_from_irq() {
  0)               |                irq_get_irq_data() {
  0)   0.102 us    |                  irq_to_desc();
  0)   0.753 us    |                }
  0)   1.406 us    |              }
  0)   0.087 us    |              irq_move_irq();
  0)   0.090 us    |              evtchn_2l_clear_pending();
  0)   3.397 us    |            }
  0)               |            handle_irq_event_percpu() {
  0)               |              hrtimer_interrupt() {
  0)   0.086 us    |                _raw_spin_lock();
  0)   0.204 us    |                ktime_get_update_offsets_now();
  0)               |                __run_hrtimer() {
  0)   0.174 us    |                  __remove_hrtimer();
  0)   0.086 us    |                  _raw_spin_unlock();
  0)               |                  tick_sched_timer() {
  0)   0.161 us    |                    ktime_get();
  0)               |                    tick_sched_do_timer() {
  0)               |                      tick_do_update_jiffies64() {
  0)   0.087 us    |                        _raw_spin_lock();
  0)               |                        do_timer() {
  0)   0.125 us    |                          calc_global_load();
  0)   0.783 us    |                        }
  0)   0.088 us    |                        _raw_spin_unlock();
  0)               |                        update_wall_time() {
  0)   0.097 us    |                          _raw_spin_lock_irqsave();
  0)   0.094 us    |                          ntp_tick_length();
  0)   0.085 us    |                          ntp_tick_length();
  0)   0.084 us    |                          ntp_tick_length();
  0)               |                          timekeeping_update.constprop.9() {
  0)   0.104 us    |                            update_vsyscall();
  0)               |                            raw_notifier_call_chain() {
  0)   0.085 us    |                              notifier_call_chain();
  0)   0.731 us    |                            }
  0)   0.096 us    |                            update_fast_timekeeper();
  0)   0.097 us    |                            update_fast_timekeeper();
  0)   3.395 us    |                          }
  0)   0.096 us    |                          _raw_spin_unlock_irqrestore();
  0)   7.743 us    |                        }
  0) + 11.060 us   |                      }
  0) + 11.716 us   |                    }
  0)               |                    tick_sched_handle.isra.16() {
  0)               |                      update_process_times() {
  0)               |                        account_process_tick() {
  0)               |                          account_user_time() {
  0)   0.115 us    |                            cpuacct_account_field();
  0)               |                            acct_account_cputime() {
  0)               |                              __acct_update_integrals() {
  0)   0.093 us    |                                jiffies_to_timeval();
  0)   0.787 us    |                              }
  0)   1.439 us    |                            }
  0)   2.805 us    |                          }
  0)   3.495 us    |                        }
  0)   0.088 us    |                        hrtimer_run_queues();
  0)   0.103 us    |                        raise_softirq();
  0)               |                        rcu_check_callbacks() {
  0)               |                          invoke_rcu_core() {
  0)   0.102 us    |                            raise_softirq();
  0)   0.758 us    |                          }
  0)   1.633 us    |                        }
  0)               |                        scheduler_tick() {
  0)   0.142 us    |                          ktime_get();
  0)   0.086 us    |                          _raw_spin_lock();
  0)   0.171 us    |                          update_rq_clock.part.92();
  0)               |                          task_tick_fair() {
  0)               |                            update_curr() {
  0)   0.100 us    |                              update_min_vruntime();
  0)   0.108 us    |                              cpuacct_charge();
  0)   1.450 us    |                            }
  0)   0.100 us    |                            update_cfs_rq_blocked_load();
  0)   0.092 us    |                            update_cfs_shares();
  0)   3.550 us    |                          }
  0)               |                          update_cpu_load_active() {
  0)               |                            __update_cpu_load() {
  0)   0.087 us    |                              sched_avg_update();
  0)   0.783 us    |                            }
  0)   1.440 us    |                          }
  0)   0.087 us    |                          _raw_spin_unlock();
  0)   0.090 us    |                          trigger_load_balance();
  0)   9.805 us    |                        }
  0)   0.120 us    |                        run_posix_cpu_timers();
  0) + 18.810 us   |                      }
  0)   0.096 us    |                      profile_tick();
  0) + 20.133 us   |                    }
  0)   0.099 us    |                    hrtimer_forward();
  0) + 34.511 us   |                  }
  0)   0.085 us    |                  _raw_spin_lock();
  0)   0.271 us    |                  enqueue_hrtimer();
  0) + 38.117 us   |                }
  0)   0.120 us    |                __hrtimer_get_next_event();
  0)   0.089 us    |                _raw_spin_unlock();
  0)               |                tick_program_event() {
  0)               |                  clockevents_program_event() {
  0)   0.134 us    |                    ktime_get();
  0)   4.241 us    |                  }
  0)   4.894 us    |                }
  0) + 47.337 us   |              }
  0)   0.085 us    |              account_steal_ticks();
  0)   0.129 us    |              add_interrupt_randomness();
  0)   0.095 us    |              note_interrupt();
  0) + 50.100 us   |            }
  0) + 54.771 us   |          }
  0) + 55.451 us   |        }
  0) + 58.982 us   |      }
  0) + 59.832 us   |    }
  0)               |    irq_exit() {
  0)               |      __do_softirq() {
  0)   0.085 us    |        msecs_to_jiffies();
  0)               |        run_timer_softirq() {
  0)   0.084 us    |          hrtimer_run_pending();
  0)   0.090 us    |          _raw_spin_lock_irq();
  0)               |          call_timer_fn() {
  0)               |            process_timeout() {
  0)               |              wake_up_process() {
  0)               |                try_to_wake_up() {
  0)   0.091 us    |                  _raw_spin_lock_irqsave();
  0)   0.103 us    |                  task_waking_fair();
  0)               |                  select_task_rq_fair() {
  0)               |                    select_idle_sibling() {
  0)   0.085 us    |                      idle_cpu();
  0)   0.750 us    |                    }
  0)   1.466 us    |                  }
  0)   0.092 us    |                  _raw_spin_lock();
  0)               |                  ttwu_do_activate.constprop.103() {
  0)               |                    activate_task() {
  0)               |                      enqueue_task() {
  0)   0.160 us    |                        update_rq_clock.part.92();
  0)               |                        enqueue_task_fair() {
  0)               |                          enqueue_entity() {
  0)               |                            update_curr() {
  0)   0.103 us    |                              update_min_vruntime();
  0)   0.087 us    |                              cpuacct_charge();
  0)   1.427 us    |                            }
  0)   0.114 us    |                            update_cfs_rq_blocked_load();
  0)   0.098 us    |                            account_entity_enqueue();
  0)   0.089 us    |                            update_cfs_shares();
  0)   0.091 us    |                            place_entity();
  0)   0.096 us    |                            __enqueue_entity();
  0)   5.543 us    |                          }
  0)   0.082 us    |                          hrtick_update();
  0)   6.879 us    |                        }
  0)   8.290 us    |                      }
  0)   8.943 us    |                    }
